# Rime user dictionary
#@/db_name	luna_pinyin_simp
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	44474
#@/user_id	ArchLinux
a 	啊	c=9 d=1 t=42959
zhe li mian 	這裏面	c=2 d=1.00001 t=38716
zhe liang ge 	這兩個	c=5 d=1 t=42465
zhe liang tian 	這兩天	c=31 d=1.97161 t=43143
zhe me 	這麼	c=12 d=1.01674 t=41760
zhe me da 	這麼大	c=4 d=1 t=27402
zhe me gao 	這麼高	c=1 d=1 t=13023
zhe me ge 	這麼個	c=1 d=1 t=32897
zhe me jiu 	這麼久	c=1 d=1 t=27361
zhe me man 	這麼慢	c=1 d=1 t=1759
zhe me shuo 	這麼說	c=2 d=1 t=35180
zhe shi 	這是	c=13 d=1.00635 t=44225
zhe shi 	這時	c=1 d=1 t=9326
zhe shi hou 	這時候	c=3 d=1 t=23971
zhe teng 	折騰	c=4 d=1 t=36440
zhe wan yi er 	这玩意兒	c=11 d=1.00077 t=43629
zhe xie 	這些	c=63 d=1.12042 t=43537
zhe xie ren 	這些人	c=1 d=1 t=15596
zhe xie shi qing 	這些事情	c=2 d=1 t=35084
zhe xue 	哲學	c=1 d=1 t=34955
zhe yang 	這樣	c=53 d=1.00925 t=43311
zhe yi bo 	这一波	c=1 d=1 t=30310
zhe yi ci 	這一次	c=1 d=1 t=41809
zhe yi kuai 	這一塊	c=16 d=1.00004 t=44432
zhe zhong 	這種	c=45 d=1.75395 t=44309
zhe zhou 	這週	c=2 d=1.75957 t=31893
zhe zu 	這組	c=1 d=1 t=5502
zhen 	真	c=3 d=1.04138 t=32250
zhen 	臻	c=1 d=1 t=34102
zhen dang 	震盪	c=2 d=1.9802 t=15575
zhen de 	真的	c=18 d=1 t=44445
zhen de shi 	真的是	c=3 d=1 t=44044
zhen duan 	診斷	c=1 d=1 t=588
zhen dui 	針對	c=11 d=1.44506 t=29192
zhen shi 	真實	c=3 d=1 t=37015
zhen ta ma 	真他媽	c=1 d=1 t=32893
zhen ying 	陣營	c=1 d=1 t=16276
zhen zheng 	真正	c=1 d=1 t=10067
zheng 	整	c=4 d=1 t=38764
zheng 	正	c=7 d=2.96344 t=36917
zheng 	郑	c=2 d=1.25538 t=41526
zheng ce 	政策	c=1 d=1 t=31742
zheng chang 	正常	c=14 d=1.00206 t=42196
zheng gai 	整改	c=3 d=1 t=43605
zheng ge 	整個	c=3 d=1.00297 t=15685
zheng hao 	正好	c=2 d=1 t=31770
zheng li 	整理	c=10 d=1.0508 t=36954
zheng qu 	爭取	c=3 d=1 t=35094
zheng quan 	證券	c=1 d=1 t=35090
zheng que 	正確	c=6 d=1 t=37846
zheng shi 	正式	c=3 d=1.9802 t=26024
zheng shu 	證書	c=1 d=1 t=41269
zheng tai 	正太	c=2 d=1.89583 t=13964
zheng ti 	整體	c=8 d=1 t=43061
zheng yao 	正要	c=1 d=1 t=39177
zheng zai 	正在	c=41 d=1.16755 t=40114
zheng zai zi xun 	正在諮詢	c=1 d=1 t=18224
zheng ze 	正則	c=1 d=1 t=41503
zheng ze hua 	正则化	c=2 d=1.00002 t=33572
zheng zhi 	政治	c=1 d=1 t=35292
zheng zhou 	鄭州	c=1 d=1 t=41059
zhi 	之	c=2 d=1.97531 t=27337
zhi 	值	c=38 d=3.2048 t=42720
zhi 	只	c=27 d=1.00056 t=42287
zhi 	志	c=1 d=1 t=42551
zhi 	支	c=49 d=3.71281 t=42894
zhi 	直	c=1 d=1 t=7452
zhi biao 	指標	c=15 d=1 t=35417
zhi bo 	直播	c=1 d=1 t=31531
zhi bu guo 	只不過	c=1 d=1 t=11148
zhi cai 	制裁	c=1 d=1 t=16240
zhi chi 	支持	c=102 d=1.47095 t=44425
zhi chi bu liao 	支持不了	c=1 d=1 t=40844
zhi dao 	指導	c=14 d=1 t=43073
zhi dao 	直到	c=3 d=1.66143 t=14272
zhi dao 	知道	c=25 d=1.82283 t=44014
zhi dao le 	知道了	c=3 d=1 t=36867
zhi ding 	制定	c=1 d=1 t=11748
zhi ding 	指定	c=4 d=1.9802 t=33579
zhi dong gang 	制動缸	c=1 d=1 t=19356
zhi du 	只讀	c=3 d=2.79818 t=9581
zhi fang tu 	直方圖	c=3 d=1.23074 t=37781
zhi fu bao 	支付寶	c=1 d=1 t=10024
zhi gei 	只給	c=1 d=1 t=26569
zhi guan 	直觀	c=1 d=0.1 t=31166
zhi hou 	之後	c=67 d=1.07326 t=44377
zhi hui 	只會	c=1 d=1 t=25637
zhi jia 	之家	c=1 d=1 t=7699
zhi jian 	之間	c=12 d=1 t=37293
zhi jie 	直接	c=110 d=1.00001 t=43252
zhi leng 	製冷	c=1 d=1 t=5522
zhi liao 	治療	c=1 d=1 t=6002
zhi ling 	指令	c=43 d=1.74557 t=41990
zhi min di 	殖民地	c=1 d=1 t=16341
zhi ming 	致命	c=1 d=1 t=36173
zhi nan 	指南	c=7 d=1 t=16117
zhi neng 	只能	c=15 d=1.1708 t=37936
zhi neng 	智能	c=2 d=1 t=43966
zhi neng hua 	智能化	c=1 d=1 t=29142
zhi pei li 	支配力	c=1 d=1 t=1571
zhi qian 	之前	c=75 d=1.86146 t=43935
zhi ru 	植入	c=1 d=1 t=25180
zhi shi 	只是	c=25 d=1.00077 t=43679
zhi shi 	知識	c=1 d=1 t=25731
zhi shi ge 	只是個	c=3 d=1.67706 t=41770
zhi shu 	指數	c=3 d=1 t=31069
zhi shuo 	只說	c=1 d=1 t=15030
zhi sun 	止損	c=8 d=4.90165 t=35433
zhi wai 	之外	c=5 d=1.00014 t=27920
zhi xing 	執行	c=93 d=2.61825 t=42743
zhi xing qi 	执行器	c=1 d=1 t=23335
zhi xu yao 	只需要	c=6 d=1 t=43772
zhi yao 	只要	c=19 d=1.34872 t=44094
zhi yao shi 	只要是	c=1 d=1 t=35771
zhi you 	只有	c=21 d=1 t=43686
zhi zai 	只在	c=3 d=1 t=37438
zhi zhe 	指着	c=1 d=1 t=16331
zhi zhen 	指針	c=3 d=1 t=43659
zhi zheng 	執政	c=2 d=1 t=30412
zhi zhi dao 	只知道	c=1 d=1 t=34236
zhi zuo 	製作	c=9 d=1 t=44290
zhong 	中	c=91 d=1.94619 t=42600
zhong 	忠	c=3 d=1 t=35757
zhong 	种	c=3 d=1.00017 t=14535
zhong 	重	c=1 d=1 t=16264
zhong de 	中的	c=8 d=1 t=42579
zhong di pin 	中低频	c=1 d=1 t=15550
zhong duan 	中斷	c=2 d=1.00001 t=6328
zhong duan 	終端	c=3 d=1 t=22428
zhong guo 	中國	c=13 d=1.27253 t=41505
zhong hua 	中華	c=2 d=1.99005 t=6243
zhong ji 	終極	c=1 d=1 t=13670
zhong jian 	中間	c=5 d=1 t=26049
zhong jie 	中介	c=1 d=1 t=35473
zhong mei 	中美	c=2 d=1 t=33424
zhong wei shu 	中位數	c=1 d=1 t=15222
zhong wen 	中文	c=3 d=1 t=35571
zhong wu 	中午	c=2 d=1 t=38949
zhong xin 	中心	c=1 d=1 t=24919
zhong yao 	重要	c=3 d=1.00008 t=14453
zhong yuan 	中遠	c=2 d=1.00032 t=20338
zhong zhi 	終止	c=2 d=1.9802 t=14187
zhong zi 	種子	c=2 d=1 t=43181
zhou 	周	c=2 d=1 t=39663
zhou 	轴	c=20 d=1 t=44301
zhou er 	週二	c=1 d=1 t=40893
zhou mo 	週末	c=1 d=1 t=34984
zhou qi 	週期	c=1 d=1 t=5739
zhou san 	週三	c=1 d=1 t=41067
zhou wu 	週五	c=1 d=1 t=34986
zhou yong kang 	周永康	c=1 d=1 t=11167
zhu 	主	c=1 d=1 t=34018
zhu 	住	c=2 d=1 t=20025
zhu 	朱	c=1 d=1 t=14291
zhu ban 	主板	c=2 d=1.96561 t=43048
zhu bu 	逐步	c=2 d=1 t=30819
zhu ce 	註冊	c=17 d=1.23484 t=40985
zhu ce de 	注册的	c=1 d=1 t=27220
zhu cheng fen 	主成分	c=2 d=1.97531 t=33568
zhu dong 	主動	c=1 d=1 t=25222
zhu duo 	諸多	c=1 d=1 t=28662
zhu gan 	主幹	c=4 d=1.00002 t=6173
zhu ji 	主機	c=2 d=1.956 t=41440
zhu jie 	註解	c=5 d=1 t=36469
zhu li 	主力	c=1 d=1 t=52
zhu liu 	主流	c=1 d=1 t=10157
zhu ru 	注入	c=2 d=1.03405 t=5796
zhu shi 	註釋	c=6 d=1 t=31163
zhu ti 	主題	c=1 d=1 t=4932
zhu yao 	主要	c=31 d=1.02166 t=44464
zhu yao shi 	主要是	c=28 d=1.00278 t=44107
zhu yi 	注意	c=12 d=1.00002 t=38519
zhu yi le 	注意了	c=1 d=1 t=37991
zhua jin 	抓緊	c=4 d=1 t=36601
zhuan 	转	c=6 d=2.12719 t=31379
zhuan dian 	賺點	c=1 d=1 t=33850
zhuan fa 	轉發	c=4 d=1.90622 t=13804
zhuan huan 	轉換	c=9 d=1 t=42559
zhuan jia 	專家	c=11 d=1 t=36127
zhuan le 	賺了	c=2 d=1 t=15615
zhuan men 	專門	c=4 d=1 t=34563
zhuan qian 	賺錢	c=3 d=1.06334 t=33449
zhuan shu 	專屬	c=1 d=1 t=22118
zhuan ta 	轉塔	c=1 d=1 t=40884
zhuan wan 	轉彎	c=1 d=1 t=20165
zhuan ye 	專業	c=4 d=1.9802 t=39871
zhuan yi 	轉移	c=5 d=4.80527 t=33388
zhuan zhu 	專注	c=2 d=1 t=29701
zhuang 	装	c=46 d=2.90681 t=43954
zhuang dai 	裝袋	c=1 d=1 t=22194
zhuang hao 	裝好	c=3 d=0.900325 t=44474
zhuang kuang 	狀況	c=2 d=1 t=44137
zhuang shi qi 	装饰漆	c=3 d=1.9561 t=33642
zhuang tai 	狀態	c=9 d=1.0002 t=40885
zhui jia 	追加	c=2 d=1.81058 t=23301
zhun 	准	c=1 d=1 t=36557
zhun bei 	準備	c=5 d=1 t=42119
zhun que 	準確	c=2 d=1 t=14654
zhun que lv 	準確率	c=3 d=2.97516 t=7303
zhun ze 	準則	c=1 d=1 t=14128
zhuo 	卓	c=3 d=1.0502 t=9234
zhuo gui 	捉鬼	c=1 d=1 t=34436
zhuo mian 	桌面	c=3 d=1 t=36099
zhuo mian ban 	桌面板	c=1 d=1 t=9812
zhuo mian yong 	桌面用	c=1 d=1 t=4221
zhuo shou 	着手	c=1 d=1 t=24535
zi 	子	c=150 d=1.57547 t=42239
zi 	字	c=7 d=2.78062 t=33950
zi ben 	資本	c=1 d=1 t=40128
zi ben jia 	資本家	c=2 d=1.98511 t=15623
zi ben zhu yi 	資本主義	c=1 d=1 t=15562
zi chan 	資產	c=1 d=1 t=16053
zi dai 	自帶	c=2 d=1 t=30139
zi dian 	字典	c=5 d=1 t=38419
zi ding yi 	自定義	c=1 d=1 t=378
zi dong 	自動	c=41 d=1.00018 t=43626
zi dong hua 	自動化	c=7 d=0.1 t=38031
zi dong hua ge 	自動化个	c=1 d=1 t=38032
zi fu 	字符	c=7 d=0.107712 t=37465
zi fu chuan 	字符串	c=20 d=1 t=37064
zi fu liu 	字符流	c=1 d=1 t=37466
zi ji 	自己	c=67 d=0.913931 t=44474
zi ji de 	自己的	c=1 d=1 t=6929
zi jie 	字節	c=26 d=2.55349 t=44442
zi jin cheng 	子进程	c=3 d=1 t=24119
zi liao 	資料	c=4 d=1 t=33832
zi mu 	字母	c=3 d=1 t=34113
zi ran 	自然	c=2 d=1 t=43032
zi ti 	字體	c=5 d=1.89583 t=33922
zi wai xian 	紫外線	c=1 d=1 t=37470
zi wo 	自我	c=1 d=1 t=29112
zi xi 	仔細	c=2 d=1 t=40751
zi xin 	自信	c=1 d=1 t=16050
zi xun 	諮詢	c=3 d=1.00012 t=20861
zi you xing 	自由行	c=1 d=1 t=6011
zi yuan 	資源	c=15 d=1 t=43799
zong 	总	c=1 d=1 t=39411
zong gong 	總共	c=2 d=1 t=7485
zong jie 	總結	c=5 d=1.10177 t=29124
zong shi 	總是	c=2 d=1.48432 t=25236
zong shu 	總數	c=1 d=1 t=39530
zong suan 	總算	c=2 d=1.99501 t=16037
zong tong fu 	總統府	c=1 d=1 t=6009
zong xian 	總線	c=3 d=1.31609 t=42167
zou 	走	c=6 d=1.00001 t=44302
zou a 	走啊	c=1 d=1 t=16027
zou ba 	走吧	c=1 d=0.970446 t=44474
zou bu le 	走不了	c=1 d=1 t=12606
zou dao 	走到	c=1 d=1 t=3739
zou de 	走的	c=1 d=1 t=43015
zu 	租	c=1 d=1 t=35466
zu 	组	c=3 d=2.87897 t=15541
zu cheng 	組成	c=1 d=1 t=14237
zu gou 	足夠	c=4 d=1 t=43565
zu he 	組合	c=11 d=1.00006 t=35580
zu jian 	組件	c=6 d=1 t=43785
zu se 	阻塞	c=1 d=0.484812 t=9485
zu zhi 	組織	c=1 d=1 t=17437
zu zhuang 	組裝	c=2 d=1 t=19532
zui 	最	c=4 d=1.00001 t=11460
zui chi 	最遲	c=1 d=1 t=30993
zui da 	最大	c=10 d=1.18825 t=37791
zui da hua 	最大化	c=1 d=1 t=14220
zui da zhi 	最大值	c=6 d=1.97045 t=36187
zui duan 	最短	c=1 d=1 t=20467
zui duo 	最多	c=1 d=1 t=22108
zui fan 	最煩	c=1 d=1 t=41366
zui gao 	最高	c=2 d=1.97045 t=34382
zui hao 	最好	c=23 d=1 t=38880
zui hao wan 	最好玩	c=1 d=1 t=31541
zui hou 	最後	c=4 d=1 t=15535
zui jia 	最佳	c=9 d=1 t=39536
zui jia jie 	最佳解	c=1 d=1 t=29011
zui jin 	最近	c=58 d=1.99005 t=43731
zui le 	醉了	c=1 d=1 t=41218
zui qiang 	最強	c=3 d=1.99501 t=25261
zui quan 	最全	c=1 d=1 t=622
zui xiao 	最小	c=2 d=1.07208 t=1290
zui xiao zhi 	最小值	c=1 d=1 t=31961
zui xin 	最新	c=51 d=1 t=40334
zui xin ban 	最新版	c=3 d=1.00139 t=17688
zui you 	最優	c=4 d=1 t=29006
zui you hua 	最優化	c=1 d=1 t=13446
zui you jie 	最优解	c=5 d=1.90032 t=28868
zui zao 	最早	c=1 d=1 t=21145
zui zhong 	最終	c=1 d=1 t=13644
zuo 	做	c=60 d=1.00573 t=44240
zuo bu liao 	做不了	c=2 d=1 t=44144
zuo dao 	做到	c=1 d=1 t=2671
zuo de 	做的	c=3 d=1 t=30563
zuo dian 	做點	c=1 d=1 t=43655
zuo duo 	作多	c=1 d=1 t=13150
zuo fa 	做法	c=2 d=1.00181 t=23539
zuo ge 	做個	c=1 d=1 t=1720
zuo hao 	做好	c=3 d=1 t=27847
zuo le 	做了	c=6 d=1.00026 t=41095
zuo shi qing 	做事情	c=1 d=1 t=22598
zuo tian 	昨天	c=27 d=1.0109 t=44421
zuo wan 	昨晚	c=3 d=1.00008 t=42538
zuo wei 	作爲	c=21 d=1.0007 t=30595
zuo yi ge 	做一個	c=1 d=1 t=14619
zuo yong 	作用	c=3 d=1 t=40773
zuo you 	左右	c=8 d=1.00015 t=43827
zuo zhe 	作者	c=1 d=1 t=25188
